order id,order date,customer id,product id,quantity,customer name,customer email,phone number,address line 1,city,country,postcode,loyalty card,coffee type,roast type,size,unit price,price per 100g,profit
AMM-79521-378,2023-06-01,24825-51803-CQ,A-D-0.5,6,Faber Eilhart,feilhartz@who.int,+1 (304) 510-6095,6966 Victoria Street,Charleston,United States,25362,No,Ara,D,0.5,5.97,1.194,0.5373
QUQ-90580-772,2023-02-06,77634-13918-GJ,L-M-0.2,2,Zorina Ponting,zponting10@altervista.org,+1 (501) 172-1476,7118 Holmberg Court,Little Rock,United States,72204,No,Lib,M,0.2,4.365,2.1825,0.56745
LGD-24408-274,2021-04-25,13694-25001-LX,L-L-0.5,3,Silvio Strase,sstrase11@booking.com,+1 (303) 579-8015,5 Forest Lane,Denver,United States,80291,No,Lib,L,0.5,9.51,1.902,1.2363
HCT-95608-959,2022-04-25,08523-01791-TI,R-M-2.5,5,Dorie de la Tremoille,dde12@unesco.org,+1 (612) 492-5160,0817 Dennis Street,Minneapolis,United States,55458,No,Rob,M,2.5,22.884999999999998,0.9153999999999999,1.3730999999999998
OFX-99147-470,2023-11-24,49860-68865-AB,R-M-1,6,Hy Zanetto,,,469 Paget Place,Tucson,United States,85715,Yes,Rob,M,1.0,9.95,0.9949999999999999,0.597
LUO-37559-016,2023-04-19,21240-83132-SP,L-M-1,3,Jessica McNess,,+1 (504) 545-1478,664 Erie Place,New Orleans,United States,70116,No,Lib,M,1.0,14.55,1.455,1.8915000000000002
XWC-20610-167,2024-07-07,08350-81623-TF,E-D-0.2,2,Lorenzo Yeoland,lyeoland15@pbs.org,+1 (860) 576-2887,8510 Merrick Road,Hartford,United States,6183,Yes,Exc,D,0.2,3.645,1.8225,0.40095000000000003
GPU-79113-136,2021-05-22,73284-01385-SJ,R-D-0.2,3,Abigail Tolworthy,atolworthy16@toplist.cz,+1 (801) 722-4425,74 Shopko Way,Ogden,United States,84409,Yes,Rob,D,0.2,2.6849999999999996,1.3424999999999998,0.16109999999999997
ULR-52653-960,2023-10-04,04152-34436-IE,L-L-2.5,2,Maurie Bartol,,+1 (617) 493-7594,7625 Starling Court,Boston,United States,2216,No,Lib,L,2.5,36.455,1.4582,4.7391499999999995
HPI-42308-142,2022-04-11,06631-86965-XP,E-M-0.5,2,Olag Baudassi,obaudassi18@seesaa.net,+1 (585) 356-6251,55 Dottie Court,Rochester,United States,14604,Yes,Exc,M,0.5,8.25,1.65,0.9075
XHI-30227-581,2024-01-31,54619-08558-ZU,L-D-2.5,6,Petey Kingsbury,pkingsbury19@comcast.net,+1 (917) 705-8224,28 Loftsgordon Place,Bronx,United States,10469,No,Lib,D,2.5,29.784999999999997,1.1913999999999998,3.8720499999999998
DJH-05202-380,2021-11-07,85589-17020-CX,E-M-2.5,2,Donna Baskeyfied,,+1 (205) 923-1460,7586 Logan Avenue,Birmingham,United States,35205,Yes,Exc,M,2.5,31.624999999999996,1.265,3.47875
VMW-26889-781,2021-06-28,36078-91009-WU,A-L-0.2,2,Arda Curley,acurley1b@hao123.com,+1 (760) 840-3808,45098 Scott Drive,San Bernardino,United States,92415,Yes,Ara,L,0.2,3.885,1.9425,0.34964999999999996
DBU-81099-586,2022-09-11,15770-27099-GX,A-D-2.5,4,Raynor McGilvary,rmcgilvary1c@tamu.edu,,496 Rockefeller Court,Norfolk,United States,23514,No,Ara,D,2.5,22.884999999999998,0.9153999999999999,2.0596499999999995
PQA-54820-810,2024-08-17,91460-04823-BX,A-L-1,3,Isis Pikett,ipikett1d@xinhuanet.com,+1 (202) 871-9039,5892 Hauk Drive,Washington,United States,20409,No,Ara,L,1.0,12.95,1.295,1.1655
XKB-41924-202,2024-08-19,45089-52817-WN,L-D-0.5,2,Inger Bouldon,ibouldon1e@gizmodo.com,+1 (754) 391-4736,925 Barby Circle,Fort Lauderdale,United States,33355,No,Lib,D,0.5,7.77,1.5539999999999998,1.0101
DWZ-69106-473,2021-05-15,76447-50326-IC,L-L-2.5,4,Karry Flanders,kflanders1f@over-blog.com,+353 (467) 720-7274,88 Blue Bill Park Avenue,Crumlin,Ireland,D6W,Yes,Lib,L,2.5,36.455,1.4582,4.7391499999999995
YHV-68700-050,2021-09-11,26333-67911-OL,R-M-0.5,5,Hartley Mattioli,hmattioli1g@webmd.com,,126 Valley Edge Street,Kinloch,United Kingdom,PH43,No,Rob,M,0.5,5.97,1.194,0.35819999999999996
YHV-68700-050,2021-09-11,26333-67911-OL,L-L-2.5,2,Hartley Mattioli,hmattioli1g@webmd.com,,126 Valley Edge Street,Kinloch,United Kingdom,PH43,No,Lib,L,2.5,36.455,1.4582,4.7391499999999995
KRB-88066-642,2023-03-16,22107-86640-SB,L-M-1,5,Archambault Gillard,agillard1i@issuu.com,+1 (419) 663-2236,97490 Susan Avenue,Toledo,United States,43666,No,Lib,M,1.0,14.55,1.455,1.8915000000000002
LQU-08404-173,2022-12-03,09960-34242-LZ,L-L-1,3,Salomo Cushworth,,+1 (609) 409-7044,44 Oneill Parkway,Trenton,United States,8650,No,Lib,L,1.0,15.85,1.585,2.0605
CWK-60159-881,2022-01-27,04671-85591-RT,E-D-0.2,3,Theda Grizard,tgrizard1k@odnoklassniki.ru,+1 (813) 243-2150,6 Knutson Pass,Tampa,United States,33686,Yes,Exc,D,0.2,3.645,1.8225,0.40095000000000003
EEG-74197-843,2024-07-17,25729-68859-UA,E-L-1,4,Rozele Relton,rrelton1l@stanford.edu,+1 (850) 626-1181,2484 Reindahl Court,Pensacola,United States,32590,No,Exc,L,1.0,14.85,1.4849999999999999,1.6335
UCZ-59708-525,2024-03-04,05501-86351-NX,L-D-2.5,3,Willa Rolling,,+1 (813) 759-3534,3 Mockingbird Plaza,Zephyrhills,United States,33543,Yes,Lib,D,2.5,29.784999999999997,1.1913999999999998,3.8720499999999998
HUB-47311-849,2023-12-07,04521-04300-OK,L-M-0.5,3,Stanislaus Gilroy,sgilroy1n@eepurl.com,,9120 Harbort Terrace,Saint Paul,United States,55123,Yes,Lib,M,0.5,8.73,1.746,1.1349
WYM-17686-694,2023-02-25,58689-55264-VK,A-D-2.5,5,Correy Cottingham,ccottingham1o@wikipedia.org,+1 (260) 764-1820,394 Logan Road,Fort Wayne,United States,46862,No,Ara,D,2.5,22.884999999999998,0.9153999999999999,2.0596499999999995
ZYQ-15797-695,2021-02-25,79436-73011-MM,R-D-0.5,5,Pammi Endacott,,+44 (177) 260-5076,5841 Atwood Lane,Wootton,United Kingdom,NN4,Yes,Rob,D,0.5,5.369999999999999,1.0739999999999998,0.32219999999999993
EEJ-16185-108,2021-02-09,65552-60476-KY,L-L-0.2,5,Nona Linklater,,+1 (239) 347-9766,856 Bonner Parkway,Naples,United States,34114,Yes,Lib,L,0.2,4.755,2.3775,0.61815
RWR-77888-800,2022-02-07,69904-02729-YS,A-M-0.5,1,Annadiane Dykes,adykes1r@eventbrite.com,+1 (312) 111-6203,31 Northport Terrace,Chicago,United States,60681,No,Ara,M,0.5,6.75,1.35,0.6074999999999999
LHN-75209-742,2022-03-23,01433-04270-AX,R-M-0.5,6,Felecia Dodgson,,+1 (973) 434-8662,48053 8th Crossing,Newark,United States,7104,Yes,Rob,M,0.5,5.97,1.194,0.35819999999999996
TIR-71396-998,2024-03-06,14204-14186-LA,R-D-2.5,4,Angelia Cockrem,acockrem1t@engadget.com,+1 (571) 316-8217,1 Sherman Alley,Vienna,United States,22184,Yes,Rob,D,2.5,20.584999999999997,0.8233999999999999,1.2350999999999999
RXF-37618-213,2024-04-15,32948-34398-HC,R-L-0.5,1,Belvia Umpleby,bumpleby1u@soundcloud.com,+1 (682) 627-0888,710 Prairie Rose Terrace,Fort Worth,United States,76178,Yes,Rob,L,0.5,7.169999999999999,1.4339999999999997,0.4301999999999999
ANM-16388-634,2023-11-19,77343-52608-FF,L-L-0.2,2,Nat Saleway,nsaleway1v@dedecms.com,+1 (323) 473-0294,0780 Anthes Plaza,Burbank,United States,91505,No,Lib,L,0.2,4.755,2.3775,0.61815
WYL-29300-070,2021-10-16,42770-36274-QA,R-M-0.2,1,Hayward Goulter,hgoulter1w@abc.net.au,+1 (423) 764-7751,2081 Mariners Cove Drive,Kingsport,United States,37665,No,Rob,M,0.2,2.985,1.4925,0.17909999999999998
JHW-74554-805,2021-11-26,14103-58987-ZU,R-M-1,6,Gay Rizzello,grizzello1x@symantec.com,+44 (247) 225-8003,21 Schmedeman Crossing,Liverpool,United Kingdom,L33,Yes,Rob,M,1.0,9.95,0.9949999999999999,0.597
KYS-27063-603,2021-06-30,69958-32065-SW,E-L-2.5,4,Shannon List,slist1y@mapquest.com,+1 (614) 279-9816,7123 Algoma Center,Columbus,United States,43231,No,Exc,L,2.5,34.154999999999994,1.3661999999999999,3.7570499999999996
GAZ-58626-277,2023-01-04,69533-84907-FA,L-L-0.2,2,Shirlene Edmondson,sedmondson1z@theguardian.com,+353 (248) 428-7978,4752 International Point,Newmarket on Fergus,Ireland,P17,No,Lib,L,0.2,4.755,2.3775,0.61815
RPJ-37787-335,2022-10-27,76005-95461-CI,A-M-2.5,3,Aurlie McCarl,,+1 (504) 209-2724,731 David Park,New Orleans,United States,70183,No,Ara,M,2.5,25.874999999999996,1.035,2.3287499999999994
LEF-83057-763,2023-06-15,15395-90855-VB,L-M-0.2,5,Alikee Carryer,,+1 (704) 799-5219,247 Helena Drive,Charlotte,United States,28230,Yes,Lib,M,0.2,4.365,2.1825,0.56745
RPW-36123-215,2023-07-19,80640-45811-LB,E-L-0.5,2,Jennifer Rangall,jrangall22@newsvine.com,+1 (781) 512-6637,0 Grasskamp Lane,Springfield,United States,1114,Yes,Exc,L,0.5,8.91,1.782,0.9801
WLL-59044-117,2023-07-23,28476-04082-GR,R-D-1,6,Kipper Boorn,kboorn23@ezinearticles.com,+353 (359) 134-1550,9513 Meadow Ridge Parkway,Listowel,Ireland,V31,Yes,Rob,D,1.0,8.95,0.8949999999999999,0.5369999999999999
AWT-22827-563,2022-01-25,12018-75670-EU,R-L-0.2,1,Melania Beadle,,+353 (569) 458-9673,4418 Quincy Terrace,Moycullen,Ireland,A41,Yes,Rob,L,0.2,3.5849999999999995,1.7924999999999998,0.21509999999999996
QLM-07145-668,2021-05-09,86437-17399-FK,E-D-0.2,2,Colene Elgey,celgey25@webs.com,+1 (432) 261-0702,45 Marcy Crossing,Midland,United States,79705,No,Exc,D,0.2,3.645,1.8225,0.40095000000000003
HVQ-64398-930,2022-03-30,62979-53167-ML,A-M-0.5,6,Lothaire Mizzi,lmizzi26@rakuten.co.jp,+1 (214) 719-8530,74 Atwood Lane,Dallas,United States,75323,Yes,Ara,M,0.5,6.75,1.35,0.6074999999999999
WRT-40778-247,2024-03-13,54810-81899-HL,R-L-1,4,Cletis Giacomazzo,cgiacomazzo27@jigsy.com,+1 (571) 703-2064,817 Ridgeway Hill,Dulles,United States,20189,No,Rob,L,1.0,11.95,1.1949999999999998,0.717
SUB-13006-125,2021-04-17,26103-41504-IB,A-L-0.5,5,Ami Arnow,aarnow28@arizona.edu,+1 (650) 238-1964,12 Oakridge Court,Oakland,United States,94627,Yes,Ara,L,0.5,7.77,1.5539999999999998,0.6992999999999999
CQM-49696-263,2021-10-25,76534-45229-SG,L-L-2.5,3,Sheppard Yann,syann29@senate.gov,+1 (719) 803-5276,4 Farmco Place,Colorado Springs,United States,80930,Yes,Lib,L,2.5,36.455,1.4582,4.7391499999999995
KXN-85094-246,2021-09-13,81744-27332-RR,L-M-2.5,3,Bunny Naulls,bnaulls2a@tiny.cc,+353 (809) 128-0755,595 Melby Avenue,Adare,Ireland,H54,Yes,Lib,M,2.5,33.464999999999996,1.3385999999999998,4.3504499999999995
XOQ-12405-419,2022-04-12,91513-75657-PH,R-D-2.5,4,Hally Lorait,,+1 (716) 869-3749,80 Jana Avenue,Buffalo,United States,14205,Yes,Rob,D,2.5,20.584999999999997,0.8233999999999999,1.2350999999999999
HYF-10254-369,2021-11-14,30373-66619-CB,L-L-0.5,1,Zaccaria Sherewood,zsherewood2c@apache.org,+1 (209) 433-7924,1325 Jay Terrace,Fresno,United States,93715,No,Lib,L,0.5,9.51,1.902,1.2363
XXJ-47000-307,2021-07-18,31582-23562-FM,A-L-2.5,3,Jeffrey Dufaire,jdufaire2d@fc2.com,,8 Buell Junction,Fort Worth,United States,76121,No,Ara,L,2.5,29.784999999999997,1.1913999999999998,2.6806499999999995
XXJ-47000-307,2021-07-18,31582-23562-FM,A-D-0.2,4,Jeffrey Dufaire,jdufaire2d@fc2.com,,8 Buell Junction,Fort Worth,United States,76121,No,Ara,D,0.2,2.985,1.4925,0.26865
ZDK-82166-357,2023-04-03,81431-12577-VD,A-M-1,3,Beitris Keaveney,bkeaveney2f@netlog.com,,67319 Redwing Parkway,Beaumont,United States,77705,No,Ara,M,1.0,11.25,1.125,1.0125
IHN-19982-362,2023-03-29,68894-91205-MP,R-L-1,3,Elna Grise,egrise2g@cargocollective.com,,92 Becker Circle,Reno,United States,89519,No,Rob,L,1.0,11.95,1.1949999999999998,0.717
VMT-10030-889,2023-12-15,87602-55754-VN,A-L-1,6,Torie Gottelier,tgottelier2h@vistaprint.com,+1 (816) 743-8492,426 Division Avenue,Kansas City,United States,64136,No,Ara,L,1.0,12.95,1.295,1.1655
NHL-11063-100,2022-05-20,39181-35745-WH,A-L-1,4,Loydie Langlais,,+353 (576) 222-5069,290 Ilene Street,Crumlin,Ireland,D6W,Yes,Ara,L,1.0,12.95,1.295,1.1655
ROV-87448-086,2022-11-02,30381-64762-NG,A-M-2.5,4,Adham Greenhead,agreenhead2j@dailymail.co.uk,+1 (951) 797-0738,0062 Spenser Place,Corona,United States,92878,No,Ara,M,2.5,25.874999999999996,1.035,2.3287499999999994
DGY-35773-612,2022-07-25,17503-27693-ZH,E-L-1,3,Hamish MacSherry,,+1 (512) 430-4374,7 Brentwood Plaza,Austin,United States,78759,Yes,Exc,L,1.0,14.85,1.4849999999999999,1.6335
YWH-50638-556,2021-03-14,89442-35633-HJ,E-L-0.5,4,Else Langcaster,elangcaster2l@spotify.com,+44 (547) 590-3103,3658 Jenna Street,Normanton,United Kingdom,LE15,Yes,Exc,L,0.5,8.91,1.782,0.9801
ISL-11200-600,2022-07-02,13654-85265-IL,A-D-0.2,6,Rudy Farquharson,,,30178 Claremont Road,Charlesland,Ireland,A63,Yes,Ara,D,0.2,2.985,1.4925,0.26865
LBZ-75997-047,2021-12-17,40946-22090-FP,A-M-2.5,6,Norene Magauran,nmagauran2n@51.la,,567 Artisan Place,Fresno,United States,93762,No,Ara,M,2.5,25.874999999999996,1.035,2.3287499999999994
EUH-08089-954,2022-12-06,29050-93691-TS,A-D-0.2,2,Vicki Kirdsch,vkirdsch2o@google.fr,,0263 Golf Street,Saint Louis,United States,63150,No,Ara,D,0.2,2.985,1.4925,0.26865
BLD-12227-251,2023-03-04,64395-74865-WF,A-M-0.5,2,Ilysa Whapple,iwhapple2p@com.com,+1 (559) 522-1152,41598 Everett Drive,Fresno,United States,93726,No,Ara,M,0.5,6.75,1.35,0.6074999999999999
OPY-30711-853,2023-07-17,81861-66046-SU,A-D-0.2,1,Ruy Cancellieri,,+353 (338) 743-8327,251 Welch Parkway,Confey,Ireland,A86,No,Ara,D,0.2,2.985,1.4925,0.26865
DBC-44122-300,2022-11-04,13366-78506-KP,L-M-0.2,3,Aube Follett,,+1 (614) 370-6392,8671 David Park,Columbus,United States,43210,Yes,Lib,M,0.2,4.365,2.1825,0.56745
FJQ-60035-234,2023-04-05,08847-29858-HN,A-L-0.2,2,Rudiger Di Bartolomeo,,+1 (209) 148-6668,7700 Melby Park,Stockton,United States,95205,Yes,Ara,L,0.2,3.885,1.9425,0.34964999999999996
HSF-66926-425,2022-03-01,00539-42510-RY,L-D-2.5,5,Nickey Youles,nyoules2t@reference.com,+353 (641) 846-7654,12461 Dryden Pass,Edgeworthstown,Ireland,E25,Yes,Lib,D,2.5,29.784999999999997,1.1913999999999998,3.8720499999999998
LQG-41416-375,2023-10-19,45190-08727-NV,L-D-1,3,Dyanna Aizikovitz,daizikovitz2u@answers.com,+353 (766) 141-6317,7 Northland Court,Leixlip,Ireland,A86,Yes,Lib,D,1.0,12.95,1.295,1.6835
VZO-97265-841,2024-07-08,87049-37901-FU,R-M-0.2,4,Bram Revel,brevel2v@fastcompany.com,+1 (585) 775-6952,6168 Westend Plaza,Rochester,United States,14652,No,Rob,M,0.2,2.985,1.4925,0.17909999999999998
MOR-12987-399,2021-08-17,34015-31593-JC,L-M-1,6,Emiline Priddis,epriddis2w@nationalgeographic.com,+1 (205) 133-0205,62 Amoth Terrace,Tuscaloosa,United States,35487,No,Lib,M,1.0,14.55,1.455,1.8915000000000002
UOA-23786-489,2022-05-31,90305-50099-SV,A-M-0.5,6,Queenie Veel,qveel2x@jugem.jp,+1 (713) 750-9202,378 Shopko Center,Houston,United States,77260,Yes,Ara,M,0.5,6.75,1.35,0.6074999999999999
AJL-52941-018,2022-05-05,55871-61935-MF,E-D-1,2,Lind Conyers,lconyers2y@twitter.com,+1 (915) 476-5712,778 Summer Ridge Junction,El Paso,United States,88514,No,Exc,D,1.0,12.15,1.215,1.3365
XSZ-84273-421,2021-04-14,15405-60469-TM,R-M-0.5,3,Pen Wye,pwye2z@dagondesign.com,+1 (719) 620-1128,7 Dorton Terrace,Colorado Springs,United States,80935,Yes,Rob,M,0.5,5.97,1.194,0.35819999999999996
NUN-48214-216,2022-07-29,06953-94794-FB,A-M-0.5,4,Isahella Hagland,,+1 (260) 613-2279,07 Roxbury Street,Fort Wayne,United States,46862,No,Ara,M,0.5,6.75,1.35,0.6074999999999999
AKV-93064-769,2021-12-12,22305-40299-CY,L-D-0.5,1,Terry Sheryn,tsheryn31@mtv.com,+1 (516) 826-3780,58147 Eagle Crest Court,Port Washington,United States,11054,Yes,Lib,D,0.5,7.77,1.5539999999999998,1.0101
BRB-40903-533,2024-06-15,09020-56774-GU,E-L-0.2,3,Marie-jeanne Redgrave,mredgrave32@cargocollective.com,+1 (413) 691-2892,61022 Helena Street,Springfield,United States,1105,Yes,Exc,L,0.2,4.455,2.2275,0.49005
GPR-19973-483,2021-06-26,92926-08470-YS,R-D-0.5,5,Betty Fominov,bfominov33@yale.edu,,305 Tennyson Court,Pensacola,United States,32575,No,Rob,D,0.5,5.369999999999999,1.0739999999999998,0.32219999999999993
XIY-43041-882,2023-10-12,07250-63194-JO,A-M-1,1,Shawnee Critchlow,scritchlow34@un.org,+1 (804) 428-7292,6886 Oxford Hill,Richmond,United States,23242,No,Ara,M,1.0,11.25,1.125,1.0125
YGY-98425-969,2021-04-01,63787-96257-TQ,L-M-1,1,Merrel Steptow,msteptow35@earthlink.net,+353 (266) 235-5189,368 Ridgeview Trail,Cherryville,Ireland,P31,No,Lib,M,1.0,14.55,1.455,1.8915000000000002
MSB-08397-648,2023-03-10,49530-25460-RW,R-L-0.2,4,Carmina Hubbuck,,+1 (304) 532-7229,39749 Bobwhite Plaza,Huntington,United States,25705,No,Rob,L,0.2,3.5849999999999995,1.7924999999999998,0.21509999999999996
WDR-06028-345,2021-08-16,66508-21373-OQ,L-L-1,1,Ingeberg Mulliner,imulliner37@pinterest.com,+44 (331) 777-9556,61 Oak Valley Trail,Birmingham,United Kingdom,B40,No,Lib,L,1.0,15.85,1.585,2.0605
